name,year,battle_number,battle_type,location
Battle of the Golden Tooth,298,1,pitched battle,Golden Tooth
Battle at the Mummer's Ford,298,2,ambush,Mummer's Ford
Battle of Riverrun,298,3,pitched battle,Riverrun
Battle of the Green Fork,298,4,pitched battle,Green Fork
Battle of the Whispering Wood,298,5,ambush,Whispering Wood
Battle of the Camps,298,6,ambush,Riverrun
Sack of Darry,298,7,pitched battle,Darry
Battle of Moat Cailin,299,8,pitched battle,Moat Cailin
Battle of Deepwood Motte,299,9,siege,Deepwood Motte
Battle of the Stony Shore,299,10,ambush,Stony Shore
Battle of Torrhen's Square,299,11,pitched battle,Torrhen's Square
Battle of Winterfell,299,12,ambush,Winterfell
Sack of Torrhen's Square,299,13,siege,Torrhen's Square
Sack of Winterfell,299,14,ambush,Winterfell
Battle of Oxcross,299,15,ambush,Oxcross
Siege of Storm's End,299,16,siege,Storm's End
Battle of the Fords,299,17,pitched battle,Red Fork
Sack of Harrenhal,299,18,ambush,Harrenhal
Battle of the Crag,299,19,ambush,Crag
Battle of the Blackwater,299,20,pitched battle,King's Landing
Siege of Darry,299,21,siege,Darry
Battle of Duskendale,299,22,pitched battle,Duskendale
Battle of the Ruby Ford,299,24,pitched battle,Ruby Ford
Retaking of Harrenhal,299,25,pitched battle,Harrenhal
The Red Wedding,299,26,ambush,The Twins
Siege of Seagard,299,27,siege,Seagard
Battle of Castle Black,300,28,siege,Castle Black
Fall of Moat Cailin,300,29,siege,Moat Cailin
Sack of Saltpans,300,30,razing,Saltpans
Retaking of Deepwood Motte,300,31,pitched battle,Deepwood Motte
Battle of the Shield Islands,300,32,pitched battle,Shield Islands
"Invasion of Ryamsport, Vinetown, and Starfish Harbor",300,33,razing,"Ryamsport, Vinetown, Starfish Harbor"
Second Seige of Storm's End,300,34,siege,Storm's End
Siege of Dragonstone,300,35,siege,Dragonstone
Siege of Riverrun,300,36,siege,Riverrun
Siege of Raventree,300,37,siege,Raventree
